id;artist_name;track_name;release_date;genre;violence;loudness;energy
71722;the doors;peace frog;1970;rock;0.6117114606342331;0.7230213060533803;0.7257171595349123
72795;judas priest;dissident aggressor;1977;rock;0.6634985169071748;0.784349921800887;0.9799793547105775
72923;the rolling stones;lies;1978;rock;0.7463433176299904;0.8775478809322359;0.9979979354710576
72933;rainbow;kill the king;1978;rock;0.7147870611681728;0.713765607773761;0.9329308382804348
72976;judas priest;exciter;1978;rock;0.7533678749280708;0.7668128092710816;0.8778740637345229
73244;motörhead;orgasmatron;1979;rock;0.6422013382421189;0.752172909776171;0.9859855482974041
73372;foreigner;dirty white boy;1979;rock;0.6400264217098318;0.6857421224008409;0.7687615469071706
73508;the rolling stones;she's so cold;1980;rock;0.6385362181401254;0.7782734661436299;0.8318265795688513
73525;ac/dc;givin the dog a bone;1980;rock;0.8326334527372965;0.8021177858113477;0.9759752256526929
73572;dead kennedys;kill the poor;1980;rock;0.6522215080824694;0.8316796143886367;0.9739731611237507
73581;iron maiden;iron maiden;1980;rock;0.6242099681783746;0.80975822372638;0.9889886450908175
73711;venom;welcome to hell;1981;rock;0.7041496867829434;0.6794349152629284;0.976976257917164
73904;aerosmith;lightning strikes;1982;rock;0.6872722102136213;0.6464630925826218;0.8208152246596689
73986;iron maiden;run to the hills;1982;rock;0.731590143889369;0.7811963182319308;0.943942193189617
74049;venom;black metal;1982;rock;0.624154582486813;0.6039022639284157;0.7587512242624593
74054;iron maiden;invaders;1982;rock;0.7146315043935424;0.7755044483757659;0.9379359996027904
74064;slayer;evil has no boundaries;1983;rock;0.722699656726868;0.7391739096992538;0.8898864509081764
74075;slayer;die by the sword;1983;rock;0.6402099673156195;0.7257903238212444;0.7377295467085658
74160;slayer;fight till death;1983;rock;0.7884520056743597;0.7091762172140603;0.9039009026107722
74200;mötley crüe;knock 'em dead, kid;1983;rock;0.885793872258101;0.7546598979565674;0.9619607739500972
74217;iron maiden;the trooper;1983;rock;0.6900301806851762;0.7962464425813398;0.9089060639331277
74218;mötley crüe;shout at the devil;1983;rock;0.7495065704152322;0.7958874958336537;0.9539525158343282
74264;mötley crüe;bastard;1983;rock;0.68788255164511;0.7441222470066404;0.9629618062145684
74269;mötley crüe;red hot;1983;rock;0.6836357193986664;0.7696587441991641;0.9059029671397144
74279;dio;stand up and shout;1983;rock;0.6711831638703563;0.6132605184216597;0.9369349673383192
74290;judas priest;love bites;1984;rock;0.6192395129096387;0.7363792528779837;0.8258203859820246
74309;iron maiden;the duellists;1984;rock;0.728718286859925;0.7778888803425377;0.9719710965948084
74330;slayer;chemical warfare;1984;rock;0.6268219376443032;0.7277645309335179;0.9919917418842309
74407;iron maiden;powerslave;1984;rock;0.6143795873513708;0.7772735430607901;0.9749741933882219
74443;iron maiden;2 minutes to midnight;1984;rock;0.6215175839693915;0.7859139040586621;0.9709700643303373
74450;twisted sister;burn in hell;1984;rock;0.6366728743891173;0.6030561751660128;0.8288234827754379
74458;the smiths;handsome devil;1984;rock;0.6766395044285989;0.7405327795297797;0.9219194833712523
74467;judas priest;the sentinel;1984;rock;0.8938825620863005;0.7822987975283953;0.8638596120319272
74500;slayer;kill again;1985;rock;0.6071640241543825;0.7053303592031381;0.9309287737514925
74501;mötley crüe;fight for your rights;1985;rock;0.6054925406108749;0.8271671409891546;0.9519504513053859
74514;exodus;bonded by blood;1985;rock;0.6278232883144372;0.7578647796323359;0.960959741685626
74517;slayer;necrophiliac;1985;rock;0.7134007201145528;0.7268928031177089;0.9369349673383192
74726;megadeth;good mourning / black friday;1986;rock;0.8987767899471878;0.7880675845447785;0.9779772901816352
74824;slayer;postmortem;1986;rock;0.6190263621240722;0.8100402533138475;0.9949948386776444
74848;slayer;piece by piece;1986;rock;0.7754488390760412;0.8043996615644949;0.9969969032065865
74891;anthrax;among the living;1987;rock;0.6591300735831468;0.6473348203984308;0.9879876128263464
74966;suicidal tendencies;war inside my head;1987;rock;0.7582939795506225;0.6785631874471194;0.943942193189617
75041;anthrax;i am the law;1987;rock;0.6347040576875159;0.7986565136015178;0.9879876128263464
75097;talking heads;blind;1988;rock;0.7479739213345525;0.7727097915544957;0.8838802573213497
75121;ministry;stigmata;1988;rock;0.6459212140605528;0.6410532523139245;0.8568523861806293
75132;queensrÿche;speak;1988;rock;0.6459858217651683;0.8274491705766223;0.9759752256526929
75178;slayer;live undead;1988;rock;0.7725745183994898;0.8013998923159756;0.9889886450908175
75251;slayer;mandatory suicide;1988;rock;0.8400366537646203;0.8389354665025767;0.9969969032065865
75316;soundgarden;gun;1989;rock;0.64569519756563;0.6205932876958182;0.8908874831726475
75319;the stone roses;bye bye bad man;1989;rock;0.6712840859601188;0.7282260338948285;0.7437357402953926
75461;ac/dc;shot of love;1990;rock;0.6159958877847569;0.8167320462528522;0.9129101929910123
75462;pantera;clash with reality;1990;rock;0.6733399449725451;0.6302592108299361;0.8688647733542828
75472;judas priest;all guns blazing;1990;rock;0.6374164581574467;0.7825551880624566;0.976976257917164
75476;judas priest;hell patrol;1990;rock;0.6124909395375163;0.7863497679665666;0.9849845160329331
75501;slayer;blood red;1990;rock;0.8104229675248986;0.8161936261313232;0.9809803869750485
75504;megadeth;my creation;1990;rock;0.729346965009947;0.8006819988206035;0.9529514835698571
75526;slayer;expendable youth;1990;rock;0.7949557498441953;0.7908109632592364;0.9859855482974041
75530;judas priest;between the hammer & the anvil;1990;rock;0.6627163564899137;0.7938876496679742;0.9849845160329331
75536;obituary;chopped in half;1990;rock;0.6206901904053955;0.7624798092454427;0.9899896773552888
