id;artist_name;track_name;release_date;genre;danceability;energy
8532;the b-52's;butterbean;1983;pop;0.7703888227011806;0.8568523861806293
8577;the fixx;one thing leads to another;1983;pop;0.7768872522473736;0.9569556126277415
8648;culture club;miss me blind;1983;pop;0.7649734647460198;0.8168110956017844
8653;cyndi lauper;the goonies 'r' good enough;1983;pop;0.7032383840571862;0.8858823218502919
8654;john mellencamp;crumblin' down;1983;pop;0.7801364670204701;0.9059029671397144
8779;the fixx;saved by zero;1983;pop;0.7411458897433121;0.7917852889900063
8836;gloria estefan;get on your feet;1984;pop;0.7184013863316365;0.878875095998994
8865;matt bianco;half a minute;1984;pop;0.766056536337052;0.7016923851876053
8871;billy ocean;loverboy;1984;pop;0.772554965883245;0.8978947090239454
8882;the cars;jacki;1984;pop;0.701072240875122;0.7437357402953926
8884;chaka khan;this is my night;1984;pop;0.7238167442867974;0.8738699346766384
8937;"""weird al"" yankovic";king of suede;1984;pop;0.7779703238384058;0.8088028374860154
8976;"""weird al"" yankovic";eat it;1984;pop;0.7465612476984729;0.7687615469071706
9001;howard jones;new song;1984;pop;0.7487273908805373;0.7167078691546722
9083;gloria estefan;1-2-3;1984;pop;0.7519766056536337;0.8558513539161582
9137;tina turner;one of the living;1985;pop;0.7032383840571862;0.9099070961975989
9211;thompson twins;breakaway;1985;pop;0.7584750351998268;0.7737667082295262
9220;thompson twins;lay your hands on me;1985;pop;0.7487273908805373;0.7147058046257301
9245;modern talking;you're the lady of my heart;1985;pop;0.8483699772554967;0.8368317408912069
9263;the replacements;waitress in the sky;1985;pop;0.7422289613343442;0.7127037400967878
9362;john mellencamp;between a laugh and a tear;1985;pop;0.7400628181522799;0.7237150950059701
9417;simply red;money's too tight;1985;pop;0.7573919636087945;0.8138079988083711
9435;babyface;i love you babe;1986;pop;0.7628073215639554;0.7807739340808241
9438;madonna;love makes the world go round;1986;pop;0.772554965883245;0.7597522565269305
9463;"""weird al"" yankovic";living with a hernia;1986;pop;0.8548684068016896;0.8178121278662557
9472;they might be giants;put your hand inside the puppet head;1986;pop;0.7259828874688617;0.7757687727584685
9536;grace jones;i'm not perfect (but i'm perfect for you);1986;pop;0.720567529513701;0.8398348376846204
9556;the b-52's;summer of love;1986;pop;0.766056536337052;0.9279256769580791
9685;tina turner;typical male;1986;pop;0.7584750351998268;0.7457378048243348
9732;pet shop boys;rent;1987;pop;0.701072240875122;0.7477398693532771
9778;johnny clegg;scatterlings of africa;1987;pop;0.798548684068017;0.8818781927924073
9844;ll cool j;get down;1987;pop;0.8321239033900141;0.7657584501137572
9917;michael jackson;dirty diana;1987;pop;0.7389797465612479;0.8158100633373133
9938;michael jackson;leave me alone;1987;pop;0.8537853352106575;0.9579566448922128
9948;john mellencamp;cherry bomb;1987;pop;0.7552258204267303;0.9379359996027904
9953;tiffany;i think we're alone now;1987;pop;0.7508935340626016;0.7277192240638546
9961;level 42;lessons in love;1987;pop;0.7032383840571862;0.8438389667425048
10001;rick astley;whenever you need somebody;1987;pop;0.7075706704213148;0.9479463222475016
10026;michael jackson;al capone;1987;pop;0.7931333261128561;0.8898864509081764
10028;whitney houston;love will save the day;1987;pop;0.7541427488356981;0.844839999006976
10069;sheena easton;the lover in me;1988;pop;0.8191270442976281;0.8088028374860154
10105;paula abdul;knocked out;1988;pop;0.7248998158778296;0.779772901816353
10141;paula abdul;state of attraction;1988;pop;0.7476443192895051;0.7437357402953926
10198;fine young cannibals;i'm not satisfied;1988;pop;0.7747211090653093;0.8047987084281311
10285;paula abdul;straight up;1988;pop;0.766056536337052;0.8268214182464957
10300;paula abdul;opposites attract;1988;pop;0.7812195386115022;0.8428379344780338
10327;kylie minogue;i should be so lucky;1988;pop;0.7313982454240225;0.967966967536924
10335;rick astley;take me to your heart;1988;pop;0.7443951045164087;0.8358307086267358
10363;paula abdul;the way that you love me;1988;pop;0.7638903931549876;0.8528482571227448
10415;don henley;how bad do you want it?;1989;pop;0.7032383840571862;0.8798761282634652
10477;jody watley;real love;1989;pop;0.7032383840571862;0.7407326435019792
10583;janet jackson;black cat;1989;pop;0.701072240875122;0.9129101929910123
10656;babyface;tender lover;1989;pop;0.7378966749702156;0.8608565152385138
10664;janet jackson;state of the world;1989;pop;0.7454781761074407;0.844839999006976
10672;xtc;king for a day;1989;pop;0.7324813170150547;0.8598554829740428
10679;pixies;dead;1989;pop;0.7248998158778296;0.7107016755678455
10709;the b-52's;deadbeat club;1989;pop;0.7097368136033794;0.8258203859820246
10719;new kids on the block;games;1990;pop;0.7530596772446659;0.8638596120319272
10949;ice cube;jackin' for beats;1990;pop;0.8776129102133652;0.8108049020149578
11019;mariah carey;you're so cold;1991;pop;0.7270659590598939;0.7857790954031797
11200;simply red;stars;1991;pop;0.7086537420123471;0.8188131601307267
11207;naughty by nature;uptown anthem;1991;pop;0.824542402252789;0.7237150950059701
11235;mariah carey;emotions;1991;pop;0.7357305317881513;0.7527450306756326
11239;michael jackson;remember the time;1991;pop;0.8332069749810462;0.9219194833712523
11272;paula abdul;the promise of a new day;1991;pop;0.7498104624715695;0.8208152246596689
11451;madonna;fever;1992;pop;0.7758041806563415;0.7277192240638546
11462;ice cube;gangsta's fairytale 2;1992;pop;0.7584750351998268;0.763756385584815
11484;ice cube;now i gotta wet 'cha;1992;pop;0.7487273908805373;0.8248193537175535
11513;mary j. blige;leave a message;1992;pop;0.824542402252789;0.8338286440977936
11584;mary j. blige;real love;1992;pop;0.766056536337052;0.7817749663452951
11587;ice cube;it was a good day;1992;pop;0.7952994692949203;0.7487409016177482
11590;en vogue;free your mind;1992;pop;0.7617242499729233;0.8318265795688513
11624;whitney houston;something in common;1992;pop;0.7768872522473736;0.746738837088806
11639;bobby brown;get away;1992;pop;0.8169609011155637;0.7657584501137572
11724;mc lyte;ruffneck;1993;pop;0.701072240875122;0.902899870346301
11765;lucky dube;remember me;1993;pop;0.7238167442867974;0.7036944497165476
11774;ice cube;really doe;1993;pop;0.7703888227011806;0.7377295467085658
11823;jamiroquai;emergency on planet earth;1993;pop;0.7400628181522799;0.8418369022135626
11857;ace of base;don't turn around;1993;pop;0.7400628181522799;0.7717646437005838
11875;snoop dogg;g funk (intro);1993;pop;0.7736380374742771;0.8978947090239454
11893;snoop dogg;ain't no fun (if the homies cant have none) (feat. nate dogg, warren g & kurupt);1993;pop;0.8429546193003358;0.7987925148413042
11934;a tribe called quest;clap your hands;1993;pop;0.8288746886169177;0.7757687727584685
12060;the notorious b.i.g.;friend of mine;1994;pop;0.7812195386115022;0.8128069665439001
12176;gang starr;mass appeal;1994;pop;0.8082963283873064;0.7267181917993835
12277;changing faces;stroke you up;1994;pop;0.7238167442867974;0.7317233531217391
12303;the notorious b.i.g.;unbelievable;1994;pop;0.766056536337052;0.7917852889900063
12309;scarface;no tears;1994;pop;0.8862774829416226;0.8188131601307267
12368;raekwon;criminology;1995;pop;0.7043214556482185;0.7267181917993835
12410;michael jackson;d.s.;1995;pop;0.896025127260912;0.9149122575199545
12442;michael jackson;tabloid junkie;1995;pop;0.8147947579334995;0.8778740637345229
12464;ace of base;beautiful life;1995;pop;0.7443951045164087;0.9889886450908175
12754;dave matthews band;so much to say;1996;pop;0.7075706704213148;0.7807739340808241
12781;702;steelo;1996;pop;0.7693057511101484;0.7367285144440947
12791;backstreet boys;as long as you love me;1996;pop;0.772554965883245;0.8168110956017844
12794;backstreet boys;quit playing games (with my heart);1996;pop;0.7996317556590492;0.8758719992055807
12830;mc lyte;cold rock a party;1996;pop;0.9036066283981371;0.7447367725598638
13101;the notorious b.i.g.;mo money mo problems;1997;pop;0.8483699772554967;0.8848812895858208
13109;aqua;barbie girl;1997;pop;0.8147947579334995;0.9559545803632704
13131;smash mouth;walkin' on the sun;1997;pop;0.7400628181522799;0.9729721288592795
13147;jermaine dupri;welcome to atlanta;1997;pop;0.7823026102025344;0.7627553533203438
13164;the notorious b.i.g.;mo money mo problems (feat. mase & puff daddy);1997;pop;0.8353731181631107;0.9299277414870214
13219;ace of base;cruel summer;1998;pop;0.7140690999675079;0.8428379344780338
13225;total;trippin';1998;pop;0.7487273908805373;0.8318265795688513
13227;outkast;da art of storytellin' (pt. 2);1998;pop;0.7119029567854437;0.9259236124291369
13281;dmx;fuckin' wit' d;1998;pop;0.8862774829416226;0.7957894180478909
13312;juvenile;gone ride with me;1998;pop;0.7086537420123471;0.7807739340808241
13317;des'ree;life;1998;pop;0.7140690999675079;0.7407326435019792
13334;gang starr;work;1998;pop;0.785551824975631;0.8328276118333225
13369;the offspring;pretty fly (for a white guy);1998;pop;0.71515217155854;0.9018988380818298
13418;n.o.r.e.;superthug;1998;pop;0.8483699772554967;0.9219194833712523
13426;dmx;damien;1998;pop;0.8267085454348533;0.729721288592797
13438;blur;coffee and tv;1998;pop;0.7270659590598939;0.7817749663452951
13556;beck;mixed bizness;1999;pop;0.766056536337052;0.9149122575199545
13587;c‚line dion;love can move mountains;1999;pop;0.7259828874688617;0.8748709669411097
13590;project pat;niggas got me fucked up;1999;pop;0.8624499079389149;0.7417336757664503
13619;citizen king;better days (and the bottom drops out);1999;pop;0.7541427488356981;0.8968936767594742
13687;702;where my girls at;1999;pop;0.7119029567854437;0.7367285144440947
13751;jay z;anything;1999;pop;0.8169609011155637;0.7517439984111614
13789;big pun;100% (feat. tony sunshine) (feat. tony sunshine);2000;pop;0.8072132567962743;0.7697625791716417
13793;jay z;hey papi;2000;pop;0.7747211090653093;0.8768730314700517
13835;project pat;red rum;2000;pop;0.7303151738329904;0.7337254176506813
13866;shaggy;hope;2000;pop;0.7758041806563415;0.756749159733517
13877;three 6 mafia;weak azz b***h (feat. la chat);2000;pop;0.876529838622333;0.9659649030079817
13901;e-40;nah, nah... (feat. nate dogg);2000;pop;0.8321239033900141;0.8208152246596689
13906;backstreet boys;the answer to our life;2000;pop;0.7140690999675079;0.7577501919979882
13917;big tymers;get your roll on;2000;pop;0.87003140907614;0.7036944497165476
14057;*nsync;just got paid;2000;pop;0.8093793999783387;0.7737667082295262
14066;missy elliott;get ur freak on;2001;pop;0.7779703238384058;0.7877811599321219
14079;gorillaz;re-hash;2001;pop;0.8397054045272394;0.7907842567255353
14119;enrique iglesias;escape;2001;pop;0.7779703238384058;0.8328276118333225
14132;trick daddy;take it to da house (feat. the slip n' slide express);2001;pop;0.9447633488573597;0.7597522565269305
14150;missy elliott;lick shots;2001;pop;0.9014404852160729;0.7617543210558726
14181;project pat;if you ain't from my hood (feat. dj paul & juicy j);2001;pop;0.9252680602187805;0.8728689024121673
14256;jermaine dupri;welcome to atlanta (feat. ludacris);2001;pop;0.7465612476984729;0.7867801276676507
14278;fat joe;what's luv? (feat. ja-rule & ashanti);2001;pop;0.837539261345175;0.7076985787744322
14298;no doubt;underneath it all;2001;pop;0.7227336726957654;0.7317233531217391
14304;p!nk;get the party started;2001;pop;0.8017978988411135;0.9049019348752433
14341;fabolous;young'n;2001;pop;0.9436802772663273;0.7287202563283257
14500;justin timberlake;(oh no) what you got;2002;pop;0.811545543160403;0.7837770308742373
14569;jennifer lopez;jenny from the block;2002;pop;0.8472869056644646;0.7547470952045748
14582;maroon 5;this love;2002;pop;0.7064875988302828;0.8598554829740428
14600;cam?ron;oh boy;2002;pop;0.7454781761074407;0.7717646437005838
14633;bow wow;basketball;2002;pop;0.8873605545326546;0.779772901816353
14639;2pac;they don't give a f**** about us;2002;pop;0.8429546193003358;0.7397316112375082
14663;scarface;on my block;2002;pop;0.8353731181631107;0.9189163865778389
14699;mark ronson;ooh wee (feat. ghostface killah, nate dogg, trife & saigon);2003;pop;0.720567529513701;0.9619607739500972
14753;50 cent;blood hound;2003;pop;0.806130185205242;0.9059029671397144
14845;fruit bats;when u love somebody;2003;pop;0.7162352431495722;0.763756385584815
14891;kelis;milkshake;2003;pop;0.8981912704429763;0.7707636114361128
14910;ludacris;splash waterfalls;2003;pop;0.7032383840571862;0.8438389667425048
14968;50 cent;wanksta;2003;pop;0.8104624715693709;0.8688647733542828
14988;lindsay lohan;rumors;2004;pop;0.8992743420340086;0.7647574178492861
14995;simply red;sunrise;2004;pop;0.7866348965666631;0.7287202563283257
15000;lil wayne;this is the carter;2004;pop;0.8472869056644646;0.8548503216516872
15004;the cheetah girls;cheetah sisters;2004;pop;0.7465612476984729;0.7687615469071706
15016;good charlotte;i just wanna live;2004;pop;0.8028809704321456;0.8308255473043802
15113;britney spears;do somethin';2004;pop;0.8483699772554967;0.9359339350738481
15154;diddy;all about the benjamins;2004;pop;0.8267085454348533;0.7257171595349123
15174;gwen stefani;hollaback girl;2004;pop;0.9274342034008448;0.9189163865778389
15186;gwen stefani;rich girl;2004;pop;0.8592006931658184;0.7477398693532771
15213;jay z;big pimpin' / papercut;2004;pop;0.7617242499729233;0.9389370318672614
