id;artist_name;track_name;release_date;genre;violence;loudness;energy;age
47261;the cramps;the creature from the black leather lagoon;1989;blues;0.787639526999856;0.7239443119760018;0.960959741685626;0.44285714285714284
47419;dead moon;revenge;1990;blues;0.5676433267774629;0.7427633771761146;0.7016923851876053;0.42857142857142855
47647;dead moon;get on board;1991;blues;0.5057802581458168;0.7606337974001999;0.91090812846207;0.4142857142857143
48048;deep purple;the battle rages on;1993;blues;0.5700741895748708;0.7284567853754839;0.9259236124291369;0.38571428571428573
48536;phish;buried alive;1995;blues;0.6592856061322392;0.7434812706714867;0.959958709421155;0.35714285714285715
48591;mad season;lifeless dead;1995;blues;0.5536878821783788;0.7740430223316155;0.8868833541147629;0.35714285714285715
48683;phish;tube;1996;blues;0.5604855767495409;0.7014588621388098;0.9149122575199545;0.34285714285714286
49005;phish;carini;1997;blues;0.5530344815532883;0.7572494423505883;0.9389370318672614;0.32857142857142857
49308;gino washington;around the town;1999;blues;0.5491275574081196;0.859908212188806;0.8758719992055807;0.3
49632;radio birdman;love kills;2001;blues;0.540904675790801;0.7493526139014948;0.9299277414870214;0.2714285714285714
49671;black rebel motorcycle club;red eyes and tears;2001;blues;0.5534979200235274;0.7735046022100863;0.7107016755678455;0.2714285714285714
49828;the band;the last waltz suite: the well;2002;blues;0.546182022890632;0.7227905545727251;0.7977914825768332;0.2571428571428571
49871;queens of the stone age;six shooter;2002;blues;0.5124368728970744;0.7781709099300054;0.9619607739500972;0.2571428571428571
50039;supersuckers;the fight song;2003;blues;0.5939313654110181;0.8120400994795272;0.8398348376846204;0.24285714285714285
50055;joe bonamassa;burning hell;2003;blues;0.7222517760251916;0.73261031202728;0.8738699346766384;0.24285714285714285
50059;the kills;fuck the people;2003;blues;0.5003095750028124;0.8030664307873753;0.9669659352724528;0.24285714285714285
50171;the cramps;big black witchcraft rock;2003;blues;0.5984493676812586;0.7683767915288566;0.9779772901816352;0.24285714285714285
50189;the von bondies;not that social;2004;blues;0.6050059339803076;0.8141681409122374;0.9649638707435106;0.22857142857142856
50196;phish;nothing;2004;blues;0.5977700747556708;0.7067405071404763;0.8168110956017844;0.22857142857142856
50229;phish;the connection;2004;blues;0.5272324218162894;0.7811706791785247;0.9339318705449058;0.22857142857142856
50232;bo diddley;gun slinger;2004;blues;0.5674822620278164;0.7490193062072148;0.8828792250568785;0.22857142857142856
50242;the von bondies;crawl through the darkness;2004;blues;0.5231060561246482;0.7700176909468501;0.9069039994041854;0.22857142857142856
50377;the black keys;stack shot billy;2004;blues;0.6360636903528477;0.8048098864189933;0.7747677404939973;0.22857142857142856
50418;lost sounds;i get nervous;2004;blues;0.6287936933913746;0.8289875137809911;0.9008978058173588;0.22857142857142856
50590;queens of the stone age;burn the witch;2005;blues;0.7098812163932411;0.8042714662974643;0.8328276118333225;0.21428571428571427
50926;the stooges;my idea of fun;2007;blues;0.9104863766167323;0.7072532882085992;0.934932902809377;0.18571428571428572
51136;ty segall;the drag;2008;blues;0.5131752237890712;1.0;0.9879876128263464;0.17142857142857143
51139;north mississippi allstars;keep the devil down;2008;blues;0.734701501592974;0.7358408327564545;0.8168110956017844;0.17142857142857143
51307;the raconteurs;these stones will shout;2008;blues;0.5294179008923146;0.7719918980591236;0.7867801276676507;0.17142857142857143
51419;jay reatard;death is forming;2009;blues;0.970394735904023;0.9342358280132297;0.9919917418842309;0.15714285714285714
51473;the spits;rip up the streets;2009;blues;0.8815789440848482;0.8265005256005947;0.9049019348752433;0.15714285714285714
51515;jay reatard;i see you standing there;2009;blues;0.7439377902160182;0.9089044432479553;0.9459442577185593;0.15714285714285714
51559;cage the elephant;drones in the valley;2009;blues;0.5867941847749669;0.7947850165371894;0.8878843863792342;0.15714285714285714
51716;santana;i ain't superstitious;2010;blues;0.5255744589641423;0.8146552829269542;0.9579566448922128;0.14285714285714285
51815;the black keys;sinister kid;2010;blues;0.5776076780285678;0.7280978386277979;0.8288234827754379;0.14285714285714285
51893;the black angels;the sniper;2010;blues;0.5405929176923335;0.7949901289644385;0.7847780631387086;0.14285714285714285
51931;the kills;damned if she do;2011;blues;0.6481864153880365;0.7917596082352639;0.7647574178492861;0.12857142857142856
51976;thee oh sees;crushed grass;2011;blues;0.5294729522041375;0.7828628567033304;0.9499483867764439;0.12857142857142856
52025;thee oh sees;carrion crawler;2011;blues;0.734991228964056;0.7614798861626028;0.8108049020149578;0.12857142857142856
52139;rival sons;soul;2011;blues;0.503462607882723;0.8027844011999077;0.7897832244610642;0.12857142857142856
52170;dr. john;you lie;2012;blues;0.5449121220542413;0.72502115221906;0.9099070961975989;0.11428571428571428
52189;thee oh sees;lupine dominus;2012;blues;0.7297577804337458;0.7861702945927236;0.8418369022135626;0.11428571428571428
52193;all them witches;guns;2012;blues;0.5695435274361469;0.7411481168115273;0.8368317408912069;0.11428571428571428
