id;artist_name;track_name;release_date;genre;danceability;loudness;valence;energy
1521;chris montez;rocking blues;1962;pop;0.7043214556482185;0.6981001461426044;0.8711871393239902;0.8648606442963984
1618;chubby checker;limbo rock;1962;pop;0.7400628181522799;0.7908622413660487;0.9762984336356142;0.894891612230532
1652;chubby checker;loddy lo;1962;pop;0.6480017329145458;0.73194369663872;0.9474443528441878;0.6426314815838092
1682;dee dee sharp;gravy (for my mashed potatoes);1962;pop;0.7920502545218239;0.7701202471604748;0.975267930750206;0.7987925148413042
1704;the beach boys;our car club;1963;pop;0.7335643886060871;0.7430966848703946;0.9721764220939819;0.8108049020149578
1800;del shannon;two kinds of tear drops;1963;pop;0.6523340192786744;0.8285260108196805;0.8279060181368508;0.7547470952045748
1871;frankie valli & the four seasons;stay;1963;pop;0.7303151738329904;0.7195600338435504;0.7341302555647155;0.7507429661466903
1889;lesley gore;sunshine, lollipops and rainbows;1963;pop;0.6133434420015164;0.6915621875240365;0.9721764220939819;0.6436325138482804
1898;the cascades;rhythm of the rain;1963;pop;0.6469186613235136;0.70045893905597;0.6681780708985985;0.6606500623442894
1967;the miracles;mickey's monkey;1963;pop;0.6783277374634463;0.6282080865574442;0.7712283594394065;0.8098038697504867
1973;the beach boys;lana;1963;pop;0.6079280840463556;0.7791451939594389;0.9659934047815333;0.640629417054867
1990;martha reeves & the vandellas;just one look;1963;pop;0.71515217155854;0.716201317847345;0.9742374278647981;0.6466356106416936
2155;the everly brothers;gone, gone, gone;1964;pop;0.6035957976822268;0.6571289387995795;0.751648804616653;0.8148090310728423
2172;the everly brothers;bird dog;1964;pop;0.6458355897324813;0.6815116785888264;0.9701154163231657;0.706697546509961
2175;jay & the americans;let's lock the door (and throw away the key);1964;pop;0.6404202317773205;0.6697689921288106;0.8351195383347074;0.6496387074351071
2181;the supremes;where did our love go;1964;pop;0.6100942272284199;0.786759992821065;0.701154163231657;0.6336221912035691
2244;al hirt;cotton candy;1964;pop;0.6642478067800283;0.6161320924031484;0.9711459192085737;0.6716614172534716
2287;chubby checker;lovely, lovely (loverly, loverly);1964;pop;0.6555832340517709;0.7570443299233391;0.9093157460840889;0.6286170298812135
2339;manfred mann;the one in the middle;1965;pop;0.6393371601862884;0.6842294182498782;0.9113767518549051;0.6196077395009734
2396;gary lewis & the playboys;needles and pins;1965;pop;0.6869923101917037;0.75304463759198;0.8165704863973618;0.7237150950059701
2466;jr. walker & the all stars;shoot your shot;1965;pop;0.6631647351889961;0.6996128502935671;0.8021434460016489;0.6616510946087604
2495;bob dylan;on the road again;1965;pop;0.7671396079280841;0.6392841576289003;0.7825638911788952;0.6466356106416936
2533;jr. walker & the all stars;(i'm a) road runner;1965;pop;0.7508935340626016;0.7460195369586955;0.8526380873866446;0.6956861916007786
2547;gary lewis & the playboys;love potion #9;1965;pop;0.6339218022311276;0.7381996256698202;0.908285243198681;0.6706603849890006
2646;the spencer davis group;somebody help me;1966;pop;0.617675728365645;0.7231238622670051;0.7743198680956307;0.648637675170636
2707;nancy sinatra;lies;1966;pop;0.6187587999566772;0.6694100453811245;0.6960016488046167;0.6095974168562621
2753;herman's hermits;just a little bit better;1966;pop;0.6035957976822268;0.7262518267825551;0.740313272877164;0.6346232234680402
2852;the monkees;tomorrow's gonna be another day;1966;pop;0.6415033033683527;0.6768197318155013;0.8454245671887882;0.6816717398981829
2895;crispian st. peters;the pied piper;1966;pop;0.6826600238275752;0.732456477706843;0.9680544105523494;0.7347264499151526
3137;the beach boys;darlin';1967;pop;0.6155095851835807;0.7228161936261313;0.9577493816982686;0.6616510946087604
3240;the sweet inspirations;sweet inspiration;1967;pop;0.6555832340517709;0.7044842704407352;0.9237427864798021;0.6786686431047695
3267;tommy james & the shondells;trust each other in love;1967;pop;0.6599155204158995;0.6323359741558341;0.8938582028029677;0.6176056749720311
3405;the marvelettes;reachin' for something i can't have;1968;pop;0.6609985920069318;0.7657103299746172;0.7949299258037923;0.7167078691546722
3519;ohio express;yummy yummy yummy;1968;pop;0.7324813170150547;0.7063302822859779;0.9701154163231657;0.6956861916007786
3600;the byrds;you got a reputation;1968;pop;0.6826600238275752;0.7123810988898289;0.6712695795548227;0.6546438687574626
